,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
3891,811771523545174676,2bd Ocean View Top Floor Apt @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.43734,153.36534,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,2.0,$585.00,2,365,2,2,3,3,2.0,3.0,t,13,41,71,298,2,0,0,4.5,5.0,5.0,5.0,4.5,5.0,4.0,t,19,19,0
3892,811776291468968754,Apartment 18 @ The Cove,496695064,The Cove,2023-01-18,within an hour,100%,100%,f,20,t,CLARENCE VALLEY COUNCIL,,-29.43734,153.36534,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,4.0,$624.00,2,365,2,2,3,3,2.0,3.0,t,4,13,37,222,2,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,19,19,0
3898,813288428839807733,Fun Times,498158895,Carol,2023-01-26,within an hour,100%,100%,f,1,f,TWEED SHIRE COUNCIL,,-28.4183283,153.337355,Entire rental unit,Entire home/apt,5,1.0,1 bath,3.0,3.0,$180.00,2,365,2,2,365,365,2.0,365.0,t,25,55,85,357,14,6,0,4.36,4.43,4.14,4.71,4.57,4.79,4.36,t,1,1,0
3924,821289318501678887,Master bedroom 1 inside The Barn,494354143,David,2023-01-04,within a day,60%,21%,f,4,t,BALLINA SHIRE COUNCIL,,-28.9035645,153.4618013,Private room in barn,Private room,2,1.0,1 shared bath,1.0,1.0,$330.00,90,365,90,90,365,365,90.0,365.0,t,29,56,86,361,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,4,1,3
3925,821294488072829457,Luxury farm glamping tents,494354143,David,2023-01-04,within a day,60%,21%,f,4,t,BALLINA SHIRE COUNCIL,,-28.9035645,153.4618013,Private room in tent,Private room,2,3.0,3 shared baths,1.0,1.0,$180.00,90,365,90,90,365,365,90.0,365.0,t,22,49,79,354,5,4,0,4.8,4.8,4.8,5.0,5.0,4.8,4.8,f,4,1,3
3926,821303873752220785,Master bedroom 2 inside The Barn,494354143,David,2023-01-04,within a day,60%,21%,f,4,t,BALLINA SHIRE COUNCIL,,-28.9035645,153.4618013,Private room in barn,Private room,2,1.0,1 private bath,1.0,1.0,$330.00,90,365,90,90,365,365,90.0,365.0,t,29,56,86,361,0,0,0,,,,,,,,f,4,1,3
3927,821437111032429527,Lazy Woods One - Oceanstays,498657660,Oceanstays,2023-01-30,within an hour,100%,99%,t,39,t,CLARENCE VALLEY COUNCIL,,-29.44654,153.33531,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$139.00,2,45,2,3,45,45,2.9,45.0,t,1,1,1,1,1,0,0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,t,39,39,0
3928,821437317154935328,Lazy Woods Two - Oceanstays,498657660,Oceanstays,2023-01-30,within an hour,100%,99%,t,39,t,CLARENCE VALLEY COUNCIL,,-29.44717,153.33524,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$143.00,2,45,2,3,45,45,2.9,45.0,t,1,1,1,1,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,39,39,0
3929,821437533339248997,The Springs - Oceanstays,498657660,Oceanstays,2023-01-30,within an hour,100%,99%,t,39,t,CLARENCE VALLEY COUNCIL,,-29.43544,153.36307,Entire rental unit,Entire home/apt,7,1.0,1 bath,3.0,4.0,$189.00,2,45,3,7,45,45,3.8,45.0,t,4,21,51,316,22,15,0,4.55,4.5,4.82,4.77,4.95,4.73,4.41,f,39,39,0
3932,821906217544658802,Summer Solace ~ Byron Hills,494755057,Kelli,2023-01-07,within an hour,100%,100%,t,1,t,BALLINA SHIRE COUNCIL,,-28.71272490991076,153.56576796560665,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,$700.00,2,365,2,2,1125,1125,2.0,1125.0,t,14,23,25,25,13,7,0,4.92,4.92,5.0,5.0,5.0,5.0,4.85,f,1,1,0
3970,831393784450607285,Biirinba - Oceanstays,498657660,Oceanstays,2023-01-30,within an hour,100%,99%,t,39,t,CLARENCE VALLEY COUNCIL,,-29.43801,153.34703,Entire home,Entire home/apt,8,3.0,3 baths,4.0,5.0,$345.00,3,45,2,7,45,45,3.4,45.0,t,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,39,39,0
3971,831394025154524491,Biirinba Breeze - Oceanstays,498657660,Oceanstays,2023-01-30,within an hour,100%,99%,t,39,t,CLARENCE VALLEY COUNCIL,,-29.43831,153.34706,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,$187.00,3,69,2,7,69,69,3.4,69.0,t,0,0,1,1,17,10,0,4.94,4.94,5.0,4.94,5.0,4.76,4.76,f,39,39,0
3981,832823504523907944,Yapunyah Park Cottage,502372766,Steve,2023-02-22,within an hour,100%,100%,f,1,t,CLARENCE VALLEY COUNCIL,,-30.0040199,152.7810151,Farm stay,Entire home/apt,2,1.0,1 bath,1.0,1.0,$173.00,2,30,2,2,1125,1125,2.0,1125.0,t,24,54,84,174,6,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0
4002,837378656774876360,Arcadia Nimbin | Boutique bush retreat,503329257,Angela,2023-03-01,within an hour,100%,97%,t,1,t,LISMORE CITY COUNCIL,,-28.59748,153.20376,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,1.0,$348.00,1,1125,1,3,2,1125,1.6,511.8,t,0,3,3,16,34,34,3,4.97,4.94,4.97,5.0,5.0,5.0,4.91,f,1,1,0
