,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
1419,32451423,Tallaringa Luxury Glamping x 2 Domes,27251438,Jo,2015-02-05,within an hour,100%,91%,t,2,t,TWEED SHIRE COUNCIL,,-28.31731,153.44944,Dome,Entire home/apt,6,1.0,1 bath,2.0,6.0,$614.00,1,3,1,1,3,3,1.0,3.0,t,5,32,55,324,14,5,0,4.93,5.0,4.93,4.93,4.93,4.93,4.93,f,2,2,0
1583,36850521,Sandy Vales at Hastings Point,276796843,Jo,2019-07-17,within a few hours,100%,97%,t,1,t,TWEED SHIRE COUNCIL,,-28.36427,153.5762,Entire home,Entire home/apt,6,1.0,1 bath,3.0,4.0,$325.00,3,30,3,7,30,30,3.2,30.0,t,2,16,34,213,123,17,1,4.95,4.94,4.98,5.0,4.96,4.85,4.88,f,1,1,0
1850,41690006,Forget Me Not Farm Cottages - Daisy,326084386,Jo,2020-01-10,within an hour,100%,100%,t,4,t,BYRON SHIRE COUNCIL,,-28.685869216918945,153.55499267578125,Entire cottage,Entire home/apt,5,1.0,1 bath,2.0,2.0,$644.00,2,1125,2,5,1,1125,2.1,159.0,t,12,37,66,320,22,10,0,4.91,4.95,4.95,4.95,5.0,4.91,4.62,t,4,4,0
1851,41690920,Forget Me Not Farm Cottages - Iris,326084386,Jo,2020-01-10,within an hour,100%,100%,t,4,t,BYRON SHIRE COUNCIL,,-28.68477,153.556,Entire cottage,Entire home/apt,5,1.0,1 bath,2.0,2.0,$644.00,2,1125,2,3,2,1125,2.0,225.9,t,9,24,50,303,23,13,1,5.0,5.0,5.0,5.0,4.87,4.96,4.65,t,4,4,0
1852,41690943,Forget Me Not Farm Cottages - Poppy,326084386,Jo,2020-01-10,within an hour,100%,100%,t,4,t,BYRON SHIRE COUNCIL,,-28.685869216918945,153.55499267578125,Entire cottage,Entire home/apt,2,1.0,1 bath,1.0,1.0,$568.00,2,1125,2,3,2,1125,2.0,190.2,t,7,33,60,317,31,11,0,5.0,5.0,5.0,5.0,4.94,4.97,4.87,t,4,4,0
1853,41690978,Forget Me Not Farm Cottages - Violet,326084386,Jo,2020-01-10,within an hour,100%,100%,t,4,t,BYRON SHIRE COUNCIL,,-28.68559,153.55554,Entire cottage,Entire home/apt,5,1.0,1 bath,2.0,3.0,$644.00,2,1125,2,2,2,1125,2.0,223.1,t,9,31,55,311,30,10,0,4.87,4.97,4.9,4.9,4.9,4.87,4.83,t,4,4,0
2263,46929589,Salty’s Yamba,15290794,Jo,2014-05-09,within an hour,100%,100%,f,1,t,CLARENCE VALLEY COUNCIL,,-29.43832,153.34943,Entire townhouse,Entire home/apt,6,2.0,2 baths,4.0,4.0,$304.00,3,28,1,3,28,28,3.0,28.0,t,13,43,73,163,25,4,0,4.96,5.0,4.92,5.0,4.96,4.84,4.56,f,1,1,0
3611,756983340935497935,Family home in bangalow,362040934,Naomi,2020-08-12,,,,f,1,f,BYRON SHIRE COUNCIL,,-28.687,153.53299,Entire home,Entire home/apt,8,3.0,3 baths,4.0,4.0,$850.00,90,365,90,90,365,365,90.0,365.0,t,30,60,90,90,0,0,0,,,,,,,,f,1,1,0
5545,1212840129664885325,Tweed Family Retreat,62217139,Naomi,2016-03-09,,,,f,1,t,TWEED SHIRE COUNCIL,,-28.1893,153.52538,Entire home,Entire home/apt,6,2.5,2.5 baths,3.0,3.0,$300.00,90,120,90,90,120,120,90.0,120.0,t,0,0,0,254,0,0,0,,,,,,,,f,1,1,0
6125,1299685933489270618,Bayshore Bungalow No. 5,664353848,Naomi,2024-11-28,within an hour,100%,100%,f,12,t,BYRON SHIRE COUNCIL,,-28.62929181250627,153.58502397404047,Entire cabin,Entire home/apt,4,1.0,1 bath,2.0,3.0,$550.00,3,28,3,3,1125,1125,3.0,1125.0,t,26,56,86,118,0,0,0,,,,,,,,t,12,12,0
6189,1304629292281276110,Bayshore Bungalow No. 10,664353848,Naomi,2024-11-28,within an hour,100%,100%,f,12,t,BYRON SHIRE COUNCIL,,-28.627530734001816,153.58422423582417,Entire cabin,Entire home/apt,4,1.0,1 bath,2.0,3.0,$550.00,3,28,3,3,1125,1125,3.0,1125.0,t,23,53,83,115,0,0,0,,,,,,,,t,12,12,0
