,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
1129,26234847,Beauty and peace in Byron Bay? Here it is!,168841224,Suzanne,2018-01-20,within an hour,100%,93%,t,1,t,BYRON SHIRE COUNCIL,,-28.66526,153.6093,Entire home,Entire home/apt,4,1.5,1.5 baths,2.0,3.0,$296.00,3,30,3,3,30,30,3.0,30.0,t,3,3,30,30,35,30,1,4.97,4.86,4.74,5.0,4.97,4.86,4.86,f,1,1,0
1130,26282971,"""Forestdale"" Pet Friendly -5 mins to Beach & Shops",197603340,Ted And Pauline,2018-06-24,within an hour,100%,98%,t,1,t,TWEED SHIRE COUNCIL,,-28.39203,153.50942,Entire home,Entire home/apt,7,1.0,1 bath,3.0,5.0,$371.00,2,28,2,2,28,28,2.0,28.0,t,8,35,36,36,136,27,0,4.93,4.94,4.88,4.98,4.97,4.96,4.83,f,1,1,0
1134,26487116,Byron Bay lush private garden Guesthouse and bikes,23503338,Kate,2014-11-08,within an hour,100%,95%,t,1,t,BYRON SHIRE COUNCIL,,-28.66061,153.61125,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$285.00,3,30,3,3,1125,1125,3.0,1125.0,t,11,41,71,155,42,12,1,4.88,4.93,4.83,5.0,5.0,4.93,4.83,t,1,1,0
1135,26504055,Valley View at Big Bluff Farm,199325863,Jodie And Wayne,2018-07-01,within an hour,100%,98%,t,3,t,KYOGLE COUNCIL,,-28.44181,152.81857,Farm stay,Entire home/apt,5,1.0,1 bath,2.0,3.0,$396.00,1,365,1,2,7,1125,1.3,748.0,t,13,43,73,108,147,7,0,4.96,4.97,4.97,4.98,4.99,4.96,4.92,t,3,3,0
1137,26525972,Big Bluff: The Bungalow,199325863,Jodie And Wayne,2018-07-01,within an hour,100%,98%,t,3,t,KYOGLE COUNCIL,,-28.4421,152.81896,Entire guesthouse,Entire home/apt,4,,1 bath,1.0,,,1,365,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,29,0,0,5.0,4.97,5.0,5.0,5.0,5.0,4.89,t,3,3,0
1143,27030907,Clarenza home with a view,61879531,Bronwyn,2016-03-06,within a few hours,100%,75%,t,1,t,CLARENCE VALLEY COUNCIL,,-29.72267,152.96371,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,$80.00,1,5,1,1,5,5,1.0,5.0,t,0,12,42,42,38,8,0,4.74,4.82,4.84,4.89,4.97,4.71,4.79,f,1,0,1
1146,27065432,Tallaringa Private Luxury Glamping,27251438,Jo,2015-02-05,within an hour,100%,91%,t,2,t,TWEED SHIRE COUNCIL,,-28.31632,153.447,Dome,Entire home/apt,3,1.0,1 bath,1.0,3.0,$437.00,1,999,1,1,999,999,1.0,999.0,t,4,31,48,288,263,21,2,4.98,4.97,4.93,4.99,5.0,4.98,4.91,t,2,2,0
1147,27201711,Family Beach House,204840351,Raymond & Julieann,2018-07-24,within an hour,100%,100%,t,1,t,CLARENCE VALLEY COUNCIL,,-29.60997,153.3377,Entire home,Entire home/apt,8,2.0,2 baths,4.0,5.0,$334.00,2,21,2,5,21,21,2.1,21.0,t,9,24,50,300,127,3,1,4.95,4.97,4.98,4.98,4.99,4.98,4.94,f,1,1,0
1148,27237685,The Beach Townhouse,22230614,Craig And Wendy,2014-10-07,within a few hours,100%,100%,t,1,t,TWEED SHIRE COUNCIL,,-28.38575,153.56655,Entire townhouse,Entire home/apt,4,2.0,2 baths,2.0,3.0,$199.00,2,1125,2,3,1125,1125,2.7,1125.0,t,2,20,39,257,140,21,1,4.85,4.86,4.74,4.96,4.95,4.81,4.87,f,1,1,0
1155,27533966,Relax Rest & Return Kingscliff 2 bedroom Apartment,44949885,Sue,2015-09-23,within an hour,100%,100%,t,3,t,TWEED SHIRE COUNCIL,,-28.27571180257021,153.57631849793233,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,4.0,$413.00,3,30,2,7,30,30,2.9,30.0,t,7,22,34,284,66,9,1,4.94,4.97,4.97,4.94,4.98,4.97,4.74,f,3,3,0
1156,27555442,⭐️ABASEA check it out...you'll love it.,201425692,Meg,2018-07-10,within a day,100%,100%,t,10,t,BYRON SHIRE COUNCIL,,-28.65564,153.61609,Entire home,Entire home/apt,6,1.5,1.5 baths,3.0,4.0,$434.00,2,1125,2,7,1125,1125,2.8,1125.0,t,1,22,52,177,98,2,0,4.88,4.89,4.86,4.94,4.98,4.76,4.66,f,10,10,0
1173,27707832,"Relax at Paradise 68, hot tub&sauna",40537692,Einav,2015-08-04,within an hour,100%,100%,t,4,t,BYRON SHIRE COUNCIL,,-28.64175,153.555,Entire home,Entire home/apt,4,1.0,1 bath,2.0,3.0,$331.00,2,1125,2,3,1125,1125,2.1,1125.0,t,16,46,63,146,205,31,2,4.84,4.86,4.76,4.97,4.86,4.91,4.69,t,4,4,0
1180,27987668,The Black Cabin,24306353,Jessie,2014-11-30,within a few hours,100%,97%,t,1,t,TWEED SHIRE COUNCIL,,-28.44672,153.41511,Entire cabin,Entire home/apt,4,1.0,1 bath,1.0,1.0,$154.00,2,1125,2,2,1125,1125,2.0,1125.0,t,4,25,53,323,242,42,3,4.95,4.97,4.93,4.95,4.99,4.96,4.9,f,1,1,0
1182,27999709,Belafonte II - Tiny Boathouse Private Eco-Retreat,69474119,Sally,2016-04-29,within an hour,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.5683,153.45079,Tiny home,Entire home/apt,2,1.0,1 bath,1.0,1.0,$156.00,2,14,1,2,1125,1125,1.6,1125.0,t,9,32,57,57,122,22,3,4.96,4.98,4.93,4.98,4.98,4.89,4.8,t,1,1,0
1193,28230468,The Garden Bungalow,14623048,Nikki,2014-04-23,within an hour,100%,100%,t,2,t,BYRON SHIRE COUNCIL,,-28.5375637,153.5490992,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$400.00,2,365,1,4,365,365,2.1,365.0,t,5,25,55,301,57,32,0,4.82,4.84,4.91,4.89,4.91,4.95,4.74,t,2,2,0
1194,28231296,Sandy Pocket Byron Bay (3 bed house with Bikes),58779362,Gail,2016-02-14,within an hour,100%,98%,t,2,t,BYRON SHIRE COUNCIL,,-28.65793,153.61677,Entire home,Entire home/apt,6,1.0,1 bath,3.0,4.0,$766.00,3,60,3,5,60,60,3.0,60.0,t,1,6,6,118,24,4,0,5.0,5.0,4.96,4.96,5.0,4.96,5.0,f,2,2,0
1198,28318766,Byron View Farm,158101702,Nikki,2017-11-09,within an hour,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.66109,153.55882,Entire cottage,Entire home/apt,2,1.0,1 bath,1.0,1.0,$308.00,2,1125,2,5,1125,1125,2.2,1125.0,t,13,39,66,134,156,26,5,4.98,4.99,4.96,4.99,4.97,4.99,4.91,f,1,1,0
1199,28435829,Relax Rest & Return Kingscliff 1 Bedroom Spa Suite,44949885,Sue,2015-09-23,within an hour,100%,100%,t,3,t,TWEED SHIRE COUNCIL,,-28.275695007146755,153.5762723995123,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$319.00,3,30,2,3,30,30,2.9,30.0,t,5,15,27,275,50,5,0,5.0,5.0,4.98,4.98,5.0,5.0,4.94,f,3,3,0
1201,28476596,KINGSLEY BEACH HOUSE,73849683,Pacific Accommodation,2016-05-24,within a few hours,77%,79%,t,16,t,BYRON SHIRE COUNCIL,,-28.648906707763672,153.6165313720703,Entire home,Entire home/apt,8,3.0,3 baths,4.0,4.0,"$1,529.00",7,1125,5,7,1125,1125,6.9,1125.0,t,3,12,12,23,7,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.71,f,14,14,0
1203,28565346,"Tropical Byron Bay house🌴 Location, Pool, Sauna",134983016,E&R,2017-06-14,within an hour,100%,100%,t,1,t,BYRON SHIRE COUNCIL,,-28.66343,153.61521,Entire home,Entire home/apt,6,2.0,2 baths,3.0,4.0,$879.00,90,1125,3,90,1125,1125,87.4,1125.0,t,5,5,5,5,31,4,0,4.9,4.81,4.84,4.94,5.0,4.65,4.81,t,1,1,0
1204,28582574,Glamping @ Byron #1 Luxury Tent with ramp access,92184350,Barry,2016-08-27,within an hour,100%,99%,t,5,t,BYRON SHIRE COUNCIL,,-28.66582,153.5916,Tent,Entire home/apt,2,1.0,1 bath,1.0,1.0,$243.00,2,28,1,3,1125,1125,1.7,1125.0,t,13,41,71,158,233,25,2,4.99,4.96,4.96,4.99,4.98,4.96,4.86,t,5,5,0
1215,28812293,Fat Frogs - Luxury home with private pool,37742462,Beach Houses,2015-07-07,within an hour,100%,99%,t,27,t,BYRON SHIRE COUNCIL,,-28.64084,153.60978,Entire guesthouse,Entire home/apt,8,3.0,3 baths,4.0,4.0,"$1,201.00",3,1125,2,5,1125,1125,4.1,1125.0,t,22,50,77,341,62,35,0,4.94,4.92,4.89,4.95,4.9,4.87,4.71,t,26,26,0
1216,28819999,Gallery Studio,22256665,Alex,2014-10-07,within an hour,100%,91%,t,6,t,BYRON SHIRE COUNCIL,,-28.64615,153.60744,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$410.00,1,1125,1,1,99,99,1.0,99.0,t,4,26,43,276,70,16,1,4.77,4.84,4.74,4.81,4.73,4.81,4.61,t,6,6,0
1217,28820057,Birdsong Hideaway,22256665,Alex,2014-10-07,within an hour,100%,91%,t,6,t,BYRON SHIRE COUNCIL,,-28.64431,153.60524,Entire guesthouse,Entire home/apt,4,1.0,1 bath,2.0,2.0,$514.00,1,1125,1,1,99,99,1.0,99.0,t,5,22,52,285,145,23,0,4.63,4.64,4.62,4.75,4.65,4.74,4.49,t,6,6,0
1218,28820097,Dragonfly's Rest,22256665,Alex,2014-10-07,within an hour,100%,91%,t,6,t,BYRON SHIRE COUNCIL,,-28.64477,153.60721,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$417.00,1,1125,1,1,99,99,1.0,99.0,t,8,29,46,287,189,33,3,4.84,4.86,4.87,4.87,4.85,4.81,4.67,t,6,6,0
1219,28820183,The Grand Bali Villa,22256665,Alex,2014-10-07,within an hour,100%,91%,t,6,t,BYRON SHIRE COUNCIL,,-28.64387,153.60545,Entire villa,Entire home/apt,6,3.0,3 baths,3.0,4.0,"$1,029.00",1,1125,1,3,99,99,1.0,99.0,t,10,23,50,291,94,40,4,4.77,4.74,4.57,4.76,4.73,4.86,4.63,t,6,6,0
1220,28820224,The Garden Buree,22256665,Alex,2014-10-07,within an hour,100%,91%,t,6,t,BYRON SHIRE COUNCIL,,-28.64543,153.60515,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$417.00,1,1125,1,1,99,99,1.0,99.0,t,10,36,66,331,530,79,2,4.79,4.83,4.73,4.84,4.8,4.85,4.59,t,6,6,0
