,Unnamed: 0,id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
4920,4920,1064068859994512610,190217827,2018-05-18,within an hour,100%,100%,t,66,t,BALLINA SHIRE COUNCIL,,-28.7975,153.59401,Entire rental unit,Entire home/apt,6,2 baths,3.0,5.0,$497.00,5,90,3,7,99,99,4.0,99.0,t,6,24,54,317,1,1,0,2024-11-13,2024-11-13,5.0,5.0,5.0,5.0,5.0,5.0,5.0,65,65,0,0,0.91
4921,4921,1064083522949375122,207691,2010-08-20,within an hour,100%,100%,t,2,t,BYRON SHIRE COUNCIL,,-28.55058,153.50464,Private room in bed and breakfast,Private room,2,1.5 shared baths,1.0,1.0,$99.00,1,14,1,1,14,14,1.0,14.0,t,17,31,61,61,17,17,1,2024-01-20,2024-11-23,5.0,4.88,5.0,4.94,4.88,4.94,4.94,2,1,1,0,1.54
4922,4922,1064240219657930590,170855660,2018-01-30,within an hour,100%,100%,t,2,t,LISMORE CITY COUNCIL,,-28.78649,153.18542,Entire home,Entire home/apt,7,1 bath,3.0,4.0,$285.00,2,90,2,2,90,90,2.0,90.0,t,1,1,1,168,9,9,0,2024-03-08,2024-09-30,4.89,4.89,4.67,4.67,4.89,5.0,4.78,2,2,0,0,0.95
4923,4923,1064760324830715694,25147441,2014-12-23,within an hour,100%,95%,t,1,t,TWEED SHIRE COUNCIL,,-28.1676,153.5465,Private room in condo,Private room,2,1 private bath,1.0,1.0,$206.00,2,365,1,2,365,365,1.6,365.0,t,4,32,62,240,16,16,2,2024-01-13,2024-11-30,4.88,4.69,5.0,4.94,4.81,4.88,4.75,1,0,1,0,1.42
4924,4924,1065252466518433362,24597372,2014-12-07,within an hour,100%,100%,t,1,t,BALLINA SHIRE COUNCIL,,-28.81397,153.58476,Entire guesthouse,Entire home/apt,2,1 bath,0.0,1.0,$120.00,1,90,1,2,90,90,1.0,90.0,t,0,0,0,0,69,69,6,2024-01-13,2024-11-30,4.96,4.93,4.94,4.97,5.0,4.79,4.87,1,1,0,0,6.12
4929,4929,1065722328400805856,3898078,2012-10-17,within an hour,100%,100%,t,3,t,BALLINA SHIRE COUNCIL,,-28.7989262,153.5940453,Entire guesthouse,Entire home/apt,2,1 bath,1.0,,,90,365,90,90,365,365,90.0,365.0,t,0,0,0,18,5,5,0,2024-03-30,2024-04-23,5.0,5.0,5.0,5.0,5.0,5.0,4.6,2,2,0,0,0.57
4931,4931,1066110413686843367,341036470,2020-03-09,within an hour,97%,99%,t,43,t,RICHMOND VALLEY COUNCIL,,-29.11675,153.42668,Entire home,Entire home/apt,9,2 baths,4.0,6.0,$548.00,2,1125,2,8,4,1125,2.9,71.7,t,6,26,56,322,0,0,0,,,,,,,,,,42,42,0,0,
4933,4933,1066220464446036135,14030669,2014-04-08,within an hour,100%,65%,t,2,t,BALLINA SHIRE COUNCIL,,-28.8235151,153.5312129,Private room in home,Private room,2,1 private bath,1.0,1.0,$121.00,1,365,1,1,365,365,1.0,365.0,t,22,48,78,258,32,32,2,2024-01-25,2024-11-23,4.94,5.0,5.0,5.0,5.0,4.94,4.94,1,0,1,0,2.94
4934,4934,1066853828618981948,73916155,2016-05-25,within an hour,100%,100%,t,26,t,CLARENCE VALLEY COUNCIL,,-29.458019161995807,153.19931574652688,Entire guesthouse,Entire home/apt,8,2 baths,4.0,5.0,$312.00,1,365,1,4,365,365,1.6,365.0,t,24,51,81,352,5,5,2,2024-05-19,2024-11-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,24,24,0,0,0.71
4937,4937,1067697485851680180,18639428,2014-07-22,within an hour,100%,100%,t,2,t,BYRON SHIRE COUNCIL,,-28.72842,153.43515,Entire cottage,Entire home/apt,2,1 bath,1.0,1.0,$249.00,1,1125,1,4,1125,1125,1.4,1125.0,t,2,21,38,295,69,69,6,2024-01-25,2024-12-06,4.97,4.96,4.99,4.99,4.99,4.99,4.84,2,2,0,0,6.35
4938,4938,1069146268150290929,23632675,2014-11-11,within an hour,88%,95%,t,46,t,TWEED SHIRE COUNCIL,,-28.30718,153.56983,Entire home,Entire home/apt,8,2 baths,4.0,5.0,$610.00,1,1125,1,4,3,1125,2.8,65.3,t,29,59,89,352,1,1,0,2024-05-10,2024-05-10,4.0,4.0,4.0,4.0,5.0,4.0,5.0,43,43,0,0,0.14
4940,4940,1069767600262340800,34612962,2015-05-30,within an hour,100%,95%,t,14,t,BYRON SHIRE COUNCIL,,-28.68533,153.61429,Entire home,Entire home/apt,8,1 bath,4.0,,,3,365,1,1,99,99,1.0,99.0,t,0,0,0,0,0,0,0,,,,,,,,,,14,8,6,0,
4941,4941,1069770303588001106,190217827,2018-05-18,within an hour,100%,100%,t,66,t,BALLINA SHIRE COUNCIL,,-28.79306,153.59486,Entire villa,Entire home/apt,8,3 baths,4.0,5.0,"$1,440.00",90,90,4,7,99,99,5.7,99.0,t,1,3,10,63,2,2,0,2024-04-04,2024-05-06,5.0,5.0,5.0,5.0,5.0,5.0,5.0,65,65,0,0,0.23
4942,4942,1069822930415530504,545134616,2023-11-05,within an hour,100%,100%,t,2,t,BYRON SHIRE COUNCIL,,-28.64052,153.61455,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,$603.00,3,1125,3,4,1125,1125,3.0,1125.0,t,18,37,67,334,0,0,0,,,,,,,,,,2,2,0,0,
4945,4945,1070587106466662145,212878856,2018-08-31,within an hour,100%,100%,t,1,t,CLARENCE VALLEY COUNCIL,,-29.35783,153.25528,Entire guest suite,Entire home/apt,6,1 bath,2.0,4.0,$176.00,1,14,1,1,14,14,1.0,14.0,t,7,37,67,342,33,33,4,2024-02-23,2024-11-30,5.0,5.0,5.0,4.97,5.0,4.88,4.91,1,1,0,0,3.33
4946,4946,1070594654464915811,190217827,2018-05-18,within an hour,100%,100%,t,66,t,BALLINA SHIRE COUNCIL,,-28.80344099162409,153.59504376074992,Entire rental unit,Entire home/apt,8,2.5 baths,4.0,5.0,$400.00,3,90,3,7,99,99,4.2,99.0,t,17,28,28,267,5,5,1,2024-04-06,2024-12-09,4.8,5.0,5.0,5.0,5.0,5.0,4.8,65,65,0,0,0.59
4947,4947,1070764220153921117,174641924,2018-02-21,within a few hours,100%,82%,t,2,t,TWEED SHIRE COUNCIL,,-28.210891677722444,153.55084016919136,Entire townhouse,Entire home/apt,6,2 baths,3.0,0.0,$458.00,3,10,3,3,10,10,3.0,10.0,t,5,33,63,153,1,1,0,2024-04-01,2024-04-01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,2,0,0,0.12
4953,4953,1072243402681372677,105772834,2016-12-01,within an hour,100%,100%,t,2,t,BYRON SHIRE COUNCIL,,-28.65678,153.49033,Entire cottage,Entire home/apt,3,1 bath,1.0,2.0,$293.00,2,90,2,2,90,90,2.0,90.0,t,7,35,65,335,13,13,1,2024-02-10,2024-12-01,4.92,5.0,4.92,5.0,5.0,4.85,4.92,1,1,0,0,1.26
4954,4954,1072827967620482130,394222999,2021-03-26,within an hour,100%,99%,t,34,t,CLARENCE VALLEY COUNCIL,,-29.47887,153.36068,Entire home,Entire home/apt,12,2 baths,6.0,7.0,$571.00,3,45,3,7,45,45,3.8,45.0,t,1,14,40,260,7,7,0,2024-03-16,2024-11-13,5.0,5.0,4.57,5.0,5.0,5.0,5.0,34,34,0,0,0.76
