,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
5274,1153840663823908214,Hinterland Getaway in Federal,84436774,Elisa,2016-07-18,within a day,100.0,75%,f,2,t,BYRON SHIRE COUNCIL,,-28.6503967,153.4571009,Entire home,Entire home/apt,4,,2 baths,2.0,,,1,21,2,3,21,21,2.7,21.0,t,0,0,0,0,3,3,0,4.67,5.0,4.67,5.0,5.0,4.33,4.67,f,2,1,1
5275,1155238201792318271,Ocean shores 4 bedroom house,452667409,Cleusa,2022-04-04,within an hour,100.0,99%,f,42,t,BYRON SHIRE COUNCIL,,-28.51616,153.53724,Entire home,Entire home/apt,8,2.0,2 baths,4.0,7.0,$328.00,3,90,2,3,90,90,3.0,90.0,t,6,35,65,331,3,3,0,3.33,3.33,3.33,4.67,3.67,3.67,3.33,t,1,1,0
5276,1155346158865648761,Coorabell creek cabin.,54731915,Tristan,2016-01-15,within an hour,100.0,0%,f,2,t,BYRON SHIRE COUNCIL,,-28.6231,153.47311,Entire cabin,Entire home/apt,4,1.0,1 bath,1.0,2.0,$200.00,2,365,2,2,365,365,2.0,365.0,,9,39,69,69,0,0,0,,,,,,,,f,2,2,0
5279,1155551042295625963,Beach Villa 3BR Walk To Shops-Pub-Beach,109032712,Gregory,2016-12-29,within an hour,100.0,100%,f,2,t,BYRON SHIRE COUNCIL,,-28.632169140924702,153.58321593278464,Entire home,Entire home/apt,5,,1 bath,3.0,,,1,365,1,1,365,365,1.0,365.0,t,0,0,0,0,14,14,2,4.29,4.36,4.29,4.43,4.71,4.43,4.36,t,2,2,0
5284,1156776457525188013,Cottonwood Beach House,192774381,Kingscliff Accommodation,2018-05-31,within an hour,96.0,97%,f,112,t,TWEED SHIRE COUNCIL,,-28.30338,153.57193,Entire home,Entire home/apt,12,2.0,2 baths,5.0,9.0,$850.00,90,1125,90,90,2,1125,90.0,86.0,t,11,39,64,330,1,1,0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,t,112,109,3
5285,1156850988742229552,Luxury Oasis by the Beach in Suffolk Park,18223702,Karla,2016-03-08,within a day,100.0,61%,f,3,t,BYRON SHIRE COUNCIL,,-28.6860029,153.6137412,Entire home,Entire home/apt,8,3.0,3 baths,5.0,5.0,"$2,086.00",2,365,2,5,365,365,2.9,365.0,t,17,42,58,171,5,5,1,5.0,5.0,5.0,5.0,5.0,4.8,5.0,f,3,3,0
5290,1157668852282896616,Cape Vue 1,257680818,Corrinne Lee,2019-04-23,within a few hours,100.0,78%,f,9,t,BYRON SHIRE COUNCIL,,-28.644188743933476,153.56416222883607,Private room in villa,Private room,2,1.0,1 shared bath,1.0,1.0,$458.00,1,365,1,5,365,365,2.1,365.0,t,11,41,71,325,0,0,0,,,,,,,,t,9,5,4
5291,1157677273211180850,Cape Vue 2,257680818,Corrinne Lee,2019-04-23,within a few hours,100.0,78%,f,9,t,BYRON SHIRE COUNCIL,,-28.64442884583628,153.56410322023774,Entire villa,Entire home/apt,2,1.0,1 bath,1.0,1.0,$516.00,1,365,1,5,365,365,2.1,365.0,t,19,49,79,329,0,0,0,,,,,,,,t,9,5,4
5292,1158166594226938948,Cape Vue 3,257680818,Corrinne Lee,2019-04-23,within a few hours,100.0,78%,f,9,t,BYRON SHIRE COUNCIL,,-28.644532419036445,153.56433925463105,Private room in villa,Private room,2,1.0,1 shared bath,1.0,1.0,$458.00,1,365,1,5,365,365,2.1,365.0,t,19,49,73,326,0,0,0,,,,,,,,t,9,5,4
5293,1158170772423039674,Cape Vue 4,257680818,Corrinne Lee,2019-04-23,within a few hours,100.0,78%,f,9,t,BYRON SHIRE COUNCIL,,-28.64436,153.56528,Private room in villa,Private room,2,1.0,1 shared bath,1.0,1.0,$516.00,1,365,1,5,365,365,2.1,365.0,t,23,53,83,338,0,0,0,,,,,,,,t,9,5,4
5294,1158172206201854663,Cape Vue 5,257680818,Corrinne Lee,2019-04-23,within a few hours,100.0,78%,f,9,t,BYRON SHIRE COUNCIL,,-28.64379,153.565,Entire villa,Entire home/apt,2,1.0,1 bath,1.0,1.0,$575.00,1,365,1,5,365,365,2.1,365.0,t,15,45,75,319,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,9,5,4
5295,1158188848064044680,Self-contained room with ensuite,114961866,Sarah,2017-02-05,within a few hours,100.0,90%,f,2,t,BYRON SHIRE COUNCIL,,-28.5511,153.48773,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,$115.00,2,365,1,2,365,365,2.0,365.0,t,2,14,33,145,14,14,4,5.0,4.93,5.0,5.0,5.0,4.93,4.79,f,2,1,1
5297,1158289338052890506,Cape Vue House,257680818,Corrinne Lee,2019-04-23,within a few hours,100.0,78%,f,9,t,BYRON SHIRE COUNCIL,,-28.64558,153.56446,Entire cabin,Entire home/apt,4,2.5,2.5 baths,2.0,2.0,"$1,265.00",1,365,2,5,365,365,3.0,365.0,t,24,54,84,339,0,0,0,,,,,,,,t,9,5,4
5298,1158336939711756554,4 Bedroom Kingscliff Holiday Home!,416567130,Holiday,2021-08-02,within an hour,96.0,100%,f,177,t,TWEED SHIRE COUNCIL,,-28.2625055,153.5731534,Entire home,Entire home/apt,8,2.0,2 baths,4.0,4.0,$439.00,2,365,2,4,99,99,3.2,99.0,t,0,13,38,313,0,0,0,,,,,,,,t,175,174,1
5300,1158956996102298428,New Luxury home,79109684,Jacob,2016-06-21,within an hour,100.0,100%,f,1,t,BALLINA SHIRE COUNCIL,,-28.80326248547857,153.58124730859834,Entire home,Entire home/apt,8,2.5,2.5 baths,4.0,4.0,$986.00,1,365,3,4,365,365,3.0,365.0,t,17,47,51,129,0,0,0,,,,,,,,f,1,1,0
5301,1159079344038500725,Home Stay In Tropical setting,38786066,Freda And Eddie,2015-07-17,within an hour,100.0,100%,f,1,t,BYRON SHIRE COUNCIL,,-28.65179359999999,153.6134791,Private room in home,Private room,2,4.0,4 baths,1.0,1.0,$200.00,2,14,2,2,14,14,2.0,14.0,t,14,41,71,248,5,5,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0,1
5302,1159560624499280518,Whale House,153987206,Kudnarto,2017-10-10,within an hour,100.0,90%,f,1,t,CLARENCE VALLEY COUNCIL,,-29.77476099999999,153.2991858,Entire home,Entire home/apt,6,2.0,2 baths,4.0,4.0,$476.00,2,30,2,2,30,30,2.0,30.0,t,6,18,45,308,12,12,2,4.83,4.67,4.92,5.0,4.83,5.0,4.58,f,1,1,0
5304,1159797071086250914,Home in Pottsville Beach,110673413,Rhonda,2017-01-09,within a few hours,100.0,100%,f,1,t,TWEED SHIRE COUNCIL,,-28.38795,153.55137,Entire home,Entire home/apt,8,2.0,2 baths,5.0,5.0,$943.00,4,21,4,4,21,21,4.0,21.0,t,10,10,10,14,0,0,0,,,,,,,,f,1,1,0
5305,1160451730272392264,Beachside Lennox 1,257680818,Corrinne Lee,2019-04-23,within a few hours,100.0,78%,f,9,t,BALLINA SHIRE COUNCIL,,-28.7968752,153.5943742,Entire rental unit,Entire home/apt,8,2.0,2 baths,4.0,3.0,"$1,049.00",1,365,2,5,21,365,2.1,319.9,t,6,24,41,275,0,0,0,,,,,,,,t,9,5,4
5313,1161168151966146796,20 Grevillia - Bay Views,6414412,Melanie,2013-05-15,within an hour,100.0,100%,f,18,t,CLARENCE VALLEY COUNCIL,,-29.77554,153.30059,Entire home,Entire home/apt,10,2.0,2 baths,4.0,6.0,$343.00,2,365,2,2,365,365,2.0,365.0,t,1,22,52,215,5,5,0,5.0,5.0,4.6,5.0,5.0,5.0,5.0,f,18,18,0
5314,1161346797673791322,Mariners'quay,110897201,Elders,2017-01-11,within an hour,96.0,87%,f,112,t,CLARENCE VALLEY COUNCIL,,-29.423156,153.33473,Entire home,Entire home/apt,6,2.0,2 baths,4.0,5.0,$443.00,1,90,3,7,90,90,4.6,90.0,t,6,24,41,239,0,0,0,,,,,,,,f,110,110,0
5315,1161801716574280573,Gone to the beach-Wooli,6414412,Melanie,2013-05-15,within an hour,100.0,100%,f,18,t,CLARENCE VALLEY COUNCIL,,-29.86379,153.26723,Entire home,Entire home/apt,6,1.0,1 bath,3.0,4.0,$320.00,2,365,2,2,365,365,2.0,365.0,t,7,28,58,218,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,f,18,18,0
5316,1161911680268033164,Sun Ranch Barns Hello Darlin,578933421,Jamie,2024-05-21,within a day,100.0,100%,f,11,t,BYRON SHIRE COUNCIL,,-28.68442,153.54091,Barn,Entire home/apt,5,1.0,1 bath,2.0,2.0,"$1,148.00",2,365,1,2,100,100,2.0,100.0,t,25,48,68,303,0,0,0,,,,,,,,f,10,6,4
5317,1161930638384245107,Hinterland cabin escape,43216073,Marc,2015-09-02,within a few hours,100.0,84%,f,2,t,TWEED SHIRE COUNCIL,,-28.473009320175915,153.25171672088928,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,1.0,$100.00,2,365,2,2,365,365,2.0,365.0,t,11,29,29,164,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,2,0
