,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
1299,30298470,Modern Double Room with Spacious Ensuite,227524979,YHA Byron Bay,2018-11-25,within an hour,97.0,99%,f,7,t,BYRON SHIRE COUNCIL,,-28.64629,153.61401,Private room in hostel,Private room,2,1.0,1 private bath,1.0,1.0,222.0,1,1125,1,3,14,14,1.2,14.0,t,23,53,83,312,405,21,0,4.6,4.71,4.52,4.77,4.69,4.85,4.52,t,7,0,4
1300,30298491,Modern Twin Room with Spacious Ensuite,227524979,YHA Byron Bay,2018-11-25,within an hour,97.0,99%,f,7,t,BYRON SHIRE COUNCIL,,-28.64629,153.61401,Private room in hostel,Private room,2,1.0,1 private bath,1.0,2.0,238.0,1,1125,1,3,14,14,1.2,14.0,t,4,22,48,277,40,17,1,4.78,4.85,4.6,4.93,4.9,4.93,4.7,t,7,0,4
1311,30425646,Room in Suffolk Park Beach House,699860,Celia,2011-06-14,within an hour,100.0,78%,t,1,f,BYRON SHIRE COUNCIL,,-28.68798,153.60165,Private room in home,Private room,1,1.5,1.5 shared baths,1.0,1.0,85.0,2,100,1,2,100,100,2.0,100.0,t,12,33,63,63,82,15,1,4.95,4.94,4.87,4.99,5.0,4.91,4.89,f,1,0,1
1316,30547076,"Beachy ensuite room w deck, secret pool & sauna",42666685,Lydia Anita,2015-08-27,within an hour,100.0,95%,f,7,t,BYRON SHIRE COUNCIL,,-28.49783,153.543,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,103.0,2,730,2,2,730,730,2.0,730.0,t,8,38,68,331,21,13,1,4.67,4.67,4.67,4.71,4.71,4.67,4.52,f,4,0,4
1322,30700038,Byron Spritz Blue Fish Room + Private Ensuite,15499468,Val,2015-03-06,within an hour,100.0,97%,t,6,t,BYRON SHIRE COUNCIL,,-28.64424,153.55008,Private room in home,Private room,2,1.5,1.5 baths,1.0,2.0,160.0,2,1125,2,3,1125,1125,2.0,1125.0,t,10,36,50,135,32,2,0,4.97,5.0,5.0,4.97,4.97,4.88,4.97,f,5,1,4
1339,30970601,Relax in Beautiful Crystal Creek,26502091,Paul,2015-01-21,,,,f,1,t,TWEED SHIRE COUNCIL,,-28.29416,153.29818,Private room in bed and breakfast,Private room,2,1.0,1 shared bath,1.0,1.0,249.0,1,1125,2,2,1125,1125,2.0,1125.0,t,3,14,27,130,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,0,1
1345,31060243,Private Room in High Performance Centre,223433422,Surfing Australia,2018-10-31,within an hour,100.0,100%,f,13,t,TWEED SHIRE COUNCIL,,-28.30098,153.57052,Room in boutique hotel,Private room,2,1.0,1 private bath,1.0,1.0,204.0,2,14,2,2,14,14,2.0,14.0,t,19,19,19,19,5,1,0,4.4,4.8,4.8,4.6,4.4,5.0,4.8,t,11,0,11
1346,31107341,Cabarita Getaway: private suite with own entrance,37359509,Elaine,2015-07-02,within an hour,100.0,94%,t,1,t,TWEED SHIRE COUNCIL,,-28.33491,153.56486,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,100.0,1,30,1,1,30,30,1.0,30.0,t,0,22,43,43,122,39,0,4.92,4.89,4.98,4.96,4.97,4.88,4.89,f,1,0,1
1354,31213192,Guest house queen room 5- Byron hinterland,229496929,99 Acres Retreat,2018-12-06,within an hour,100.0,100%,t,9,f,BYRON SHIRE COUNCIL,,-28.68349,153.51671,Room in hotel,Private room,2,1.0,1 private bath,1.0,1.0,408.0,2,30,2,2,30,30,2.0,30.0,t,13,43,72,339,18,2,0,5.0,4.94,5.0,4.94,4.94,4.94,4.89,t,9,4,5
1355,31213225,Guest house king room 3- Byron hinterland,229496929,99 Acres Retreat,2018-12-06,within an hour,100.0,100%,t,9,f,BYRON SHIRE COUNCIL,,-28.68615,153.51587,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,600.0,1,140,1,1,140,140,1.0,140.0,t,7,7,28,299,11,1,0,4.91,5.0,4.91,5.0,5.0,5.0,4.73,t,9,4,5
1357,31242079,"Luxury Private Cabin 3, Blackbird Byron",233737474,James,2019-01-01,,,,f,3,t,BYRON SHIRE COUNCIL,,-28.54116,153.4277,Room in boutique hotel,Private room,2,1.0,1 private bath,0.0,1.0,781.0,2,30,2,2,14,30,2.0,25.4,t,11,41,69,338,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,3,0,3
1359,31270323,"Luxury Private Cabin 1, Blackbird Byron",233737474,James,2019-01-01,,,,f,3,t,BYRON SHIRE COUNCIL,,-28.54286,153.42714,Room in boutique hotel,Private room,2,1.0,1 bath,1.0,1.0,820.0,2,30,2,2,14,30,2.0,18.6,t,12,37,58,331,0,0,0,,,,,,,,t,3,0,3
1360,31270396,"Luxury Private Cabin 2, Blackbird Byron",233737474,James,2019-01-01,,,,f,3,t,BYRON SHIRE COUNCIL,,-28.54107,153.4283,Room in boutique hotel,Private room,2,1.0,1 bath,1.0,1.0,781.0,2,30,2,2,14,14,2.0,14.0,t,7,28,50,321,0,0,0,,,,,,,,t,3,0,3
