,id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
5501,1203263232171445186,A Home in Grafton,141677683,Nishylle Ryn,2017-07-21,,,100%,f,1,t,CLARENCE VALLEY COUNCIL,,-29.59927416467333,152.94490510599084,Private room in home,Private room,2,0.5,Private half-bath,1.0,1.0,110.0,2,365,2,2,365,365,2.0,365.0,t,18,48,78,168,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0,1
5503,1203393627276971859,The Rosary Rooms - Rosa,590523186,Kylie,2024-07-18,within an hour,100.0,97%,t,4,t,CLARENCE VALLEY COUNCIL,,-29.69133,152.94167,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,100.0,1,120,1,1,120,120,1.0,120.0,t,4,24,54,322,16,16,4,5.0,5.0,5.0,5.0,5.0,4.94,5.0,f,4,0,4
5504,1203425712600301706,The Rosary Rooms - Gardenia,590523186,Kylie,2024-07-18,within an hour,100.0,97%,t,4,t,CLARENCE VALLEY COUNCIL,,-29.69285,152.94156,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,100.0,1,120,1,1,120,120,1.0,120.0,t,0,26,56,323,29,29,7,5.0,4.97,5.0,5.0,4.97,4.97,4.97,f,4,0,4
5505,1203437236654191616,The Rosary Rooms - Wisteria,590523186,Kylie,2024-07-18,within an hour,100.0,97%,t,4,t,CLARENCE VALLEY COUNCIL,,-29.69272,152.94305,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,100.0,1,120,1,1,120,120,1.0,120.0,t,13,43,73,345,16,16,0,4.88,4.88,4.94,4.88,4.94,4.81,4.94,f,4,0,4
5506,1203441978522807390,The Rosary Rooms - Magnolia,590523186,Kylie,2024-07-18,within an hour,100.0,97%,t,4,t,CLARENCE VALLEY COUNCIL,,-29.69238,152.94291,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,100.0,2,120,2,2,120,120,2.0,120.0,t,15,45,75,347,5,5,0,4.6,5.0,5.0,5.0,5.0,4.8,4.8,f,4,0,4
5519,1206869915111728464,Seaside Getaway on Kingscliff Beach,184695657,Katie,2018-04-16,within an hour,90.0,100%,f,83,t,TWEED SHIRE COUNCIL,,-28.24006,153.56809,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,180.0,1,1125,1,4,30,1125,2.5,47.3,t,7,29,59,328,0,0,0,,,,,,,,t,83,83,0
5527,1208236864217141288,Byron Hinterland Rustic Cabin,591985172,Rachel,2024-07-24,within an hour,100.0,97%,f,1,t,LISMORE CITY COUNCIL,,-28.66477,153.39236,Entire cabin,Entire home/apt,2,1.0,1 bath,1.0,1.0,173.0,1,7,1,2,7,7,1.3,7.0,t,12,35,65,153,20,20,5,4.95,5.0,4.9,5.0,5.0,4.95,4.9,f,1,1,0
5533,1209067463136264352,Sanctuary Spaces - Thyme & Tide Ensuite room,474400766,Sanctuary Spaces,2022-08-10,within an hour,100.0,100%,t,6,t,BYRON SHIRE COUNCIL,,-28.645809375017503,153.6151398490738,Private room in bed and breakfast,Private room,2,1.0,1 private bath,1.0,1.0,179.0,1,365,1,5,365,365,2.7,365.0,t,3,21,34,75,11,11,8,4.91,4.82,5.0,5.0,4.91,5.0,4.82,t,6,4,2
5538,1211189657803300290,Coastal Comfort. Modern and Cozy,27929057,Paige,2015-02-18,within an hour,100.0,100%,f,1,t,TWEED SHIRE COUNCIL,,-28.18033,153.53633,Entire home,Entire home/apt,6,1.0,1 bath,1.0,3.0,180.0,2,1125,2,2,1125,1125,2.0,1125.0,t,0,21,42,206,6,6,2,5.0,5.0,5.0,5.0,5.0,4.83,5.0,f,1,1,0
5541,1211391396844501849,Reflections Getaway for Two,437580518,Matthew,2021-12-26,within a few hours,100.0,92%,t,2,t,BALLINA SHIRE COUNCIL,,-28.84237,153.43427,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,180.0,1,365,1,1,365,365,1.0,365.0,t,1,26,56,288,4,4,0,5.0,5.0,4.75,5.0,4.75,4.75,5.0,f,2,2,0
5553,1213435663436392284,Farm and Co,192774381,Kingscliff Accommodation,2018-05-31,within an hour,96.0,97%,f,112,t,TWEED SHIRE COUNCIL,,-28.2729,153.54537,Entire home,Entire home/apt,3,1.0,1 bath,1.0,2.0,174.0,1,1125,1,5,2,1125,2.4,86.0,t,11,11,11,172,0,0,0,,,,,,,,t,112,109,3
5554,1213436176373329803,Marine Boutique Studio - Ocean View,192774381,Kingscliff Accommodation,2018-05-31,within an hour,96.0,97%,f,112,t,TWEED SHIRE COUNCIL,,-28.25809,153.58001,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,176.0,1,1125,1,5,2,1125,2.4,86.0,t,13,26,42,279,0,0,0,,,,,,,,t,112,109,3
5571,1216521139212118405,Jacuzzi Little Retreat,569313769,Amanda,2024-03-27,,,100%,f,1,t,TWEED SHIRE COUNCIL,,-28.21838,153.55779,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,143.0,1,365,1,1,365,365,1.0,365.0,t,0,0,0,72,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,f,1,1,0
