,Unnamed: 0,id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1894,1894,42544211,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.79228973388672,153.59359741210938,Entire home,Entire home/apt,8,3 baths,4.0,,,3,28,3,7,28,28,4.0,28.0,t,1,19,49,134,1,0,0,2022-04-25,2022-04-25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,50,50,0,0,0.03
1939,1939,43306728,96471656,2016-09-23,within a day,100%,100%,f,2,t,LISMORE CITY COUNCIL,,-28.71165,153.34565,Entire guest suite,Entire home/apt,2,1 bath,0.0,1.0,$131.00,5,730,5,5,730,730,5.0,730.0,t,12,22,52,52,39,0,0,2020-05-24,2023-07-23,4.85,4.79,4.92,4.85,4.85,4.9,4.82,2,2,0,0,0.7
1956,1956,43500389,47804701,2015-10-30,within a day,100%,87%,f,50,t,BALLINA SHIRE COUNCIL,,-28.799495697021484,153.59478759765625,Entire home,Entire home/apt,7,2 baths,3.0,,,3,28,3,7,28,28,3.7,28.0,t,11,34,64,147,5,1,0,2020-11-28,2024-04-28,4.6,4.4,4.2,5.0,4.8,5.0,4.2,50,50,0,0,0.1
1957,1957,43510598,106329043,2016-12-05,within a day,68%,66%,f,40,t,TWEED SHIRE COUNCIL,,-28.38523,153.56737,Entire villa,Entire home/apt,6,1 bath,3.0,5.0,$215.00,1,90,1,7,90,90,4.1,90.0,t,0,12,38,276,3,1,0,2021-03-29,2024-11-02,5.0,5.0,4.33,5.0,5.0,5.0,5.0,40,40,0,0,0.07
1975,1975,43743799,36591867,2015-06-24,within a day,100%,79%,f,3,t,BYRON SHIRE COUNCIL,,-28.65203,153.62081,Entire home,Entire home/apt,5,1 bath,3.0,4.0,$350.00,2,30,2,2,30,30,2.0,30.0,t,0,0,5,136,21,2,0,2020-07-04,2024-06-09,4.81,4.76,4.86,4.9,4.9,4.67,4.67,2,2,0,0,0.39
2032,2032,45227124,339315131,2020-02-28,within a day,100%,88%,t,1,t,BALLINA SHIRE COUNCIL,,-28.79793,153.58652,Entire guest suite,Entire home/apt,2,1 bath,1.0,2.0,$135.00,2,28,2,2,28,28,2.0,28.0,t,0,0,14,99,178,20,0,2020-09-12,2024-07-16,4.89,4.92,4.8,4.97,4.98,4.88,4.9,1,1,0,0,3.43
2043,2043,45369292,106329043,2016-12-05,within a day,68%,66%,f,40,t,BYRON SHIRE COUNCIL,,-28.514067,153.551404,Entire home,Entire home/apt,5,2 baths,2.0,4.0,$257.00,1,90,1,21,90,90,16.9,90.0,t,7,10,36,221,19,5,0,2021-01-31,2024-11-04,4.58,4.63,4.26,4.84,4.74,4.95,4.63,40,40,0,0,0.4
2089,2089,45746133,32153774,2015-04-28,within a day,80%,30%,f,3,t,BYRON SHIRE COUNCIL,,-28.65267,153.61598,Entire townhouse,Entire home/apt,6,2 baths,3.0,4.0,$529.00,6,365,2,6,365,365,6.0,365.0,t,0,27,57,57,1,0,0,2021-01-02,2021-01-02,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,1,2,0,0.02
2107,2107,45900088,303357211,2019-10-19,within a day,100%,,f,1,t,TWEED SHIRE COUNCIL,,-28.38413,153.55702,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,$300.00,90,1125,90,90,1125,1125,90.0,1125.0,t,30,60,90,180,11,0,0,2021-04-11,2022-04-25,5.0,5.0,5.0,5.0,5.0,4.82,4.91,1,1,0,0,0.25
2108,2108,45901035,372121968,2020-10-15,within a day,50%,80%,f,1,t,BYRON SHIRE COUNCIL,,-28.65594,153.53661,Entire guesthouse,Entire home/apt,3,1 bath,2.0,2.0,$364.00,2,120,2,2,120,120,2.0,120.0,t,0,11,41,128,49,2,0,2020-11-01,2024-04-14,4.86,4.98,4.88,5.0,4.98,4.96,4.69,1,1,0,0,0.98
2121,2121,45996972,201425692,2018-07-10,within a day,100%,100%,t,10,t,BYRON SHIRE COUNCIL,,-28.65871,153.61414,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,$324.00,3,1125,3,7,1125,1125,3.6,1125.0,t,11,19,26,288,22,1,0,2020-11-08,2024-01-12,4.86,4.86,4.86,4.95,4.95,4.59,4.55,10,10,0,0,0.44
2122,2122,46003338,201425692,2018-07-10,within a day,100%,100%,t,10,t,BYRON SHIRE COUNCIL,,-28.65879,153.61494,Entire home,Entire home/apt,6,2.5 baths,3.0,4.0,$738.00,3,1125,3,7,1125,1125,3.6,1125.0,t,9,28,58,313,38,6,0,2020-12-16,2024-10-03,4.97,4.89,4.92,4.97,5.0,4.87,4.66,10,10,0,0,0.78
2131,2131,46096214,214063712,2018-09-07,within a day,100%,44%,f,1,t,BYRON SHIRE COUNCIL,,-28.55618,153.39461,Entire villa,Entire home/apt,10,3.5 baths,3.0,,,90,90,90,90,90,90,90.0,90.0,t,23,53,83,83,0,0,0,,,,,,,,,,1,1,0,0,
2132,2132,46096408,5136383,2013-02-18,within a day,80%,63%,f,2,t,BYRON SHIRE COUNCIL,,-28.68924,153.5228,Entire guest suite,Entire home/apt,5,1 bath,2.0,2.0,$429.00,1,14,1,1,14,14,1.0,14.0,t,11,38,68,232,168,39,1,2020-11-07,2024-12-01,4.86,4.9,4.86,4.95,4.96,4.89,4.7,2,2,0,0,3.36
2135,2135,46166573,5136383,2013-02-18,within a day,80%,63%,f,2,t,BYRON SHIRE COUNCIL,,-28.68884,153.5219,Entire home,Entire home/apt,11,3 baths,5.0,6.0,"$1,087.00",5,28,5,5,28,28,5.0,28.0,t,9,37,67,326,2,0,0,2020-12-30,2021-04-06,5.0,4.5,5.0,5.0,5.0,5.0,4.5,2,2,0,0,0.04
2147,2147,46266520,60279641,2016-02-24,within a day,100%,100%,f,1,t,TWEED SHIRE COUNCIL,,-28.32073,153.34388,Farm stay,Entire home/apt,10,4 baths,4.0,7.0,"$1,143.00",2,90,2,3,90,90,2.1,90.0,t,21,51,81,336,24,2,0,2022-01-05,2024-06-29,4.96,5.0,5.0,5.0,4.96,4.96,4.92,1,1,0,0,0.67
2149,2149,46297825,46756281,2015-10-17,within a day,100%,50%,f,1,f,BALLINA SHIRE COUNCIL,,-28.85655,153.58028,Entire home,Entire home/apt,6,2 baths,3.0,3.0,$234.00,90,200,4,90,200,200,85.3,200.0,t,7,7,7,7,5,0,0,2020-12-26,2023-01-07,4.6,4.4,4.4,5.0,4.8,4.6,4.4,1,1,0,0,0.1
2175,2175,46323750,24127682,2014-11-24,within a day,100%,0%,f,1,t,BYRON SHIRE COUNCIL,,-28.68416,153.59981,Entire home,Entire home/apt,8,2.5 baths,4.0,4.0,"$1,400.00",5,28,5,5,28,28,5.0,28.0,t,13,25,25,25,2,1,0,2022-01-03,2024-01-12,5.0,5.0,5.0,5.0,4.5,5.0,5.0,1,1,0,0,0.06
2225,2225,46714037,5949179,2013-04-16,within a day,100%,100%,f,1,t,BYRON SHIRE COUNCIL,,-28.55493,153.48082,Entire home,Entire home/apt,5,2.5 baths,3.0,,,90,365,90,90,365,365,90.0,365.0,t,8,26,26,87,6,0,0,2021-01-08,2023-01-02,5.0,5.0,5.0,5.0,5.0,4.83,4.83,1,1,0,0,0.13
2251,2251,46855358,79020607,2016-06-21,within a day,100%,67%,f,1,t,BYRON SHIRE COUNCIL,,-28.67852,153.60977,Entire townhouse,Entire home/apt,6,2 baths,3.0,3.0,$410.00,4,14,4,4,14,14,4.0,14.0,t,8,8,8,191,3,1,0,2022-12-28,2024-01-02,4.67,4.33,4.33,5.0,4.67,4.33,4.33,1,1,0,0,0.13
2256,2256,46879840,11051393,2014-01-05,within a day,67%,0%,f,1,t,BYRON SHIRE COUNCIL,,-28.52128,153.54236,Entire guesthouse,Entire home/apt,2,1 bath,1.0,1.0,$250.00,2,31,2,2,1125,1125,2.0,1125.0,t,18,48,78,163,6,0,0,2020-12-29,2022-12-29,4.17,4.0,4.5,4.33,4.33,4.0,3.83,1,1,0,0,0.12
2259,2259,46902727,33079729,2015-05-11,within a day,50%,50%,f,1,t,TWEED SHIRE COUNCIL,,-28.16626,153.54924,Entire rental unit,Entire home/apt,3,1 bath,2.0,,,90,1125,90,90,1125,1125,90.0,1125.0,t,6,36,66,66,15,1,0,2022-06-12,2023-12-30,4.8,4.93,4.87,5.0,5.0,5.0,4.47,1,1,0,0,0.49
